storename,address,위도,경도
경북성주점,경북 성주군 성주읍 시장길 3-7 ,35.9179570,128.2869344
경북영천점,"경북 영천시 시청동길 8 (문외동, 영진궁전빌라) ",35.9725080,128.9404412
경북경산사동점,경북 경산시 원효로 160 (사동) ,35.8203761,128.7541293
포항양덕점,"경북 포항시 북구 장량중앙로 40 (양덕동, 양덕 삼구트리니엔2차) ",36.0900335,129.3846655
경북상주점,경북 상주시 상산로 292 (서성동) ,36.4167700,128.1594360
김천평화점,경북 김천시 김천로 79 (평화동) ,36.1253511,128.1115446
김천아포점,경북 김천시 아포읍 한지1길 56 ,36.1595210,128.2623798
김천혁신점,경북 김천시 용전1로 56 (율곡동) ,36.1222798,128.1880441
문경점촌점,경북 문경시 호서로 10 (점촌동) ,36.5957677,128.1985940
경북안동1호점,경북 안동시 경북대로 418 (옥동) ,36.5663544,128.6997397
진주혁신점,경남 진주시 사들로 79 (충무공동) 1층,35.1749401,128.1489290
구미도량점,경북 구미시 도봉로 76-47 (도량동) ,36.1392533,128.3171749
구미상모초교점,경북 구미시 상사동로 58 (임은동) ,36.0897797,128.3586151
구미형곡점,경북 구미시 형곡로28길 4 (형곡동) ,36.1072865,128.3336433
경북전문대점,경북 영주시 대학로 80-2 (가흥동) ,36.8078591,128.6156658
구미신비로점,경북 구미시 신비로 95 (공단동) ,36.1207813,128.3719340
광양광영점,전남 광양시 금영로 132-1 (광영동) ,34.9624542,127.7198129
광양마동점,전남 광양시 진등5길 14 (마동) ,34.9548393,127.6900765
광양읍점,전남 광양시 광양읍 매천로 834 ,34.9753718,127.5866411
광양중동점,"전남 광양시 공영로 39 (중동, 광양중마호반리젠시빌아파트) ",34.9369320,127.6935622
목포산정점,전남 목포시 원산중앙로 6 (산정동) ,34.8067487,126.3738689
목포연동점,전남 목포시 산정로 66 (산정동) ,34.7944460,126.3933306
하당우성점,전남 목포시 신흥로 15 (상동) ,34.8020679,126.4226309
순천금당점,전남 순천시 대석길 42 (연향동) ,34.9456498,127.5261674
순천신대점,전남 순천시 해룡면 신대로 97 (중흥에스-클래스5단지) ,34.9328427,127.5468894
순천연향점,"전남 순천시 연향1로 55 (연향동, 부영1차아파트) ",34.9461564,127.5213181
순천오천점,전남 순천시 오천6길 24 (오천동) ,34.9332702,127.4945265
순천왕지점,전남 순천시 백연길 104 (조례동) ,34.9533885,127.5319165
순천조례점,전남 순천시 봉화2길 93 (조례동) ,34.9612147,127.5178406
순천중앙점,전남 순천시 중앙로 126 (중앙동) ,34.9568421,127.4843782
순천용당점,전남 순천시 삼산로 93 (용당동) ,34.9731969,127.4932157
순천서면배들점,전남 순천시 서면 배들이길 32 ,34.9896534,127.4971781
여수교동점,전남 여수시 통제영2길 7 (교동) ,34.7408605,127.7327658
여수국동점,"전남 여수시 신월로 655 (국동, 서희스타힐스) ",34.7308082,127.7159916
여수무선점,전남 여수시 무선중앙로 65 (선원동) ,34.7728093,127.6511438
여수미평점,전남 여수시 대학로 23-1 (미평동) ,34.7723324,127.7025369
여수신기점,전남 여수시 흥국로 103 (신기동) ,34.7615159,127.6736365
여수여문점,전남 여수시 문수로 49 (문수동) ,34.7525825,127.7010415
여수학동점,전남 여수시 무선로 28 (학동) ,34.7630456,127.6562465
여수죽림점,전남 여수시 소라면 죽림로 31 ,34.7636125,127.6395434
전남고흥점,전남 고흥군 고흥읍 고흥로 1789 ,34.6092737,127.2885953
나주빛가람점,전남 나주시 그린로 195 (빛가람동) ,35.0097265,126.7877681
전남나주점,전남 나주시 중앙로 41 (중앙동) ,35.0331355,126.7186483
나주남평점,전남 나주시 남평읍 강변2길 22 ,35.0412911,126.8523362
전남무안점,전남 무안군 무안읍 불무로 25 ,34.9869628,126.4736221
전남벌교점,전남 보성군 벌교읍 채동선로 237-2 ,34.8432887,127.3444787
전남영광점,전남 영광군 영광읍 중앙로 171 ,35.2742958,126.5117739
전남해남점,전남 해남군 해남읍 중앙1로 163-1 ,34.5718380,126.5983164
전남화순점,전남 화순군 화순읍 중앙로 89 ,35.0606567,126.9912772
전남고흥녹동점,전남 고흥군 도양읍 천마로 86 ,34.5304360,127.1380503
군산대점,전북 군산시 황룡2길 8 (미룡동) ,35.9448402,126.6876629
군산나운점,전북 군산시 하나운로 23 (나운동) ,35.9611591,126.6995507
군산명산사거리점,전북 군산시 대학로 60-1 (명산동) ,35.9849623,126.7097844
군산수송점,전북 군산시 수송동로 79 (수송동) ,35.9664908,126.7194688
전북김제점,전북 김제시 동서로 188 (요촌동) ,35.8002397,126.8889829
남원하정점,전북 남원시 광한북로 47 (하정동) ,35.4073002,127.3797959
완주봉동터미널점,전북 완주군 봉동읍 봉동로 166 ,35.9396032,127.1677459
완주봉동터미널 읍내점,전북 완주군 봉동읍 봉동로 166 ,35.9396032,127.1677459
완주봉동점,전북 완주군 봉동읍 완주산단9로 28 ,35.9620667,127.1261588
익산동부시장점,전북 익산시 선화로 328 (마동) ,35.9456227,126.9660605
익산동산점,전북 익산시 평동로 726 (동산동) ,35.9287961,126.9586945
