가맹점명,주소,위도,경도
미사역,경기도 하남시 망월동 1098-3,37.5626002,127.1899540
미수봉평,경남 통영시 미수동 22-1번지 운하상가 115호,34.8320799,128.4124209
미아1호,서울 강북구 미아동 561-2 현대성우아파트 상가 104호,37.6172169,127.0221100
미아사거리,서울 강북구 미아동 55-5,37.6122811,127.0321184
미아역,서울 강북구 미아동 131-8,37.6215401,127.0283984
미원,전북 군산시 대명동 384-10,35.9784333,126.7208929
미장수송,전북 군산시 수송동 841-5,35.9658242,126.7194550
민락(부산),부산 수영구 민락동 165-15,35.1582128,129.1208480
민락(의정부),경기 의정부시 민락동 834-3,37.7459831,127.0972726
민락2호,경기 의정부시 민락동 902-1,37.7517122,127.1180831
박달사거리,경기 안양시 만안구 박달동 85-15,37.4024210,126.9090557
반구1호,울산 중구 반구동 874-3,35.5604351,129.3487627
반구2호,울산 중구 반구동 99-17,35.5620460,129.3373782
반송(부산),부산 해운대구 반송2동 216-150,35.2296953,129.1548913
반송(창원),경남 창원시 성산구 반지동 74-3,35.2395489,128.6615930
반여1호,부산 해운대구 반여동 1628-5,35.2011167,129.1236771
반월,경기 안산시 상록구 건건동 650-1,37.3044684,126.9022228
반포1호,서울 서초구 반포동 1053 H동 26호,37.5009345,126.9866667
반포삼호가든,서울 서초구 반포동 53-7,37.5013160,127.0111098
